student_id,name,gender,age,gpa,study_hours_per_week,programme,region,scholarship,tuition_paid
2047,Efua Owusu,M,24,1.07,1,MPhil Statistics,Greater Accra,Yes,16750
1143,Irene Ofori,F,21,1.76,5,MSc Data Science,northern,Yes,10250
2180,Fatima Lee,Female,17,3.2,25,MBA,greater accra,no,6500
1499,Akosua Doe,M,31,2.34,33,MBA,Western,Yes,11750
1558,Kojo Tetteh,male,22,2.36,35,MSc Economics,upper west,No,6000
1941,Akosua Lee,Female,17,2.38,33,MSc Economics,western,Yes,3250
1602,Yaw Doe,M,31,1.79,19,MPhil Statistics,greater accra,YES,11250
2145,Grace Sarpong,Male,21,2.94,34,MBA,upper east,no,14500
1796,Fatima Mensah,female,27,2.7,23,MBA,Northern,YES,10250
1231,Adwoa Agyeman,female,30,2.8,ten,MSc Data Science,volta,Yes,15000
1964,Samuel Brown,Female,120,1.33,10,MSc Economics,Northern,No,?
1827,Daniel Lee,female,17,3.54,22,MPhil Statistics,northern,no,5750
1565,Akosua Ofori,female,22,1.26,23,MPhil Statistics,greater accra,YES,12000
1782,Kojo Sarpong,M,19,3.2,ten,MSc Data Science,Central,YES,2750
1809,Kofi Boateng,M,18,3.56,0,MSc Economics,Central,YES,15750
2324,Daniel Brown,male,18,2.41,4,MPhil Statistics,upper east,No,3500
2190,Adwoa Amankwah,male,19,2.19,35,MPhil Statistics,Eastern,Yes,15750
1995,Kwame Sarpong,M,19,3.67,20,MBA,upper east,no,13500
1619,Akosua Addo,Male,30,2.73,33,MPhil Statistics,Central,Yes,7500
2247,Ama Mensah,Female,21,3.74,23,MSc Data Science, greater accra ,No,15000
2425,Isaac Lee,M,18,3.69,8,MBA,Western,no,18000
1419,Kojo Nkrumah,male,19,2.72,9,MPhil Statistics,Western,No,16000
1480,Yaw Asare,Male,25,4.8,21,MSc Data Science,Central,YES,7500
1942,Joseph Amankwah,M,30,1.79,24,MBA,greater accra,no,4750
2062,Irene Lee,M,35,2.42,1,MBA,upper west,Yes,10250
1954,Akosua Doe,female,31,3.19,6,MSc Economics,Upper East,YES,17750
1526,Selina Addo,Female,27,1.12,28,MPhil Statistics,upper east,No,16250
1458,Kwame Asare,Female,17,,2,MBA,upper west,no,7250
1284,Joseph Owusu,F,32,2.6,13,MSc Data Science,Eastern,no,7000
1949,Kofi Addo,male,23,1.87,1,MSc Economics,western,no,11000
1545,Isaac Brown,female,25,2.38,17,MSc Data Science,eastern,No,7500
1822,Akosua Nkrumah,F,31,2.57,40,MSc Economics,upper east,no,6000
1232,Fatima Lee,F,22,3.37,35,MPhil Statistics,greater accra,no,3500
2147,Ama Tetteh,M,22,1.09,ten,MSc Data Science,northern,Yes,?
1730,Kojo Asare,male,28,3.85,28,MSc Economics,Western,No,6250
1399,Isaac Amankwah,F,21,3.86,12,MSc Economics,central,No,?
2234,Daniel Agyeman,F,26,3.55,32,MBA,upper east,no,2250
2029,Kojo Brown,female,32,3.26,20,MBA,eastern,No,13500
1446,Yaw Sarpong,Male,20,1.61,8,MSc Data Science,Ashanti,Yes,10500
2448,Yaw Agyeman,Female,25,2.88,26,MBA,volta,no,7750
1184,Adwoa Lee,Male,32,2.46,12,MSc Economics,northern,Yes,9250
2438,Samuel Tetteh,male,21,1.72,13,MSc Data Science,volta,Yes,4750
1550,Isaac Boateng,female,31,1.55,28,MPhil Statistics,western,no,6250
1337,Abena Agyeman,M,23,1.82,17,MPhil Statistics,northern,No,14750
2028,Irene Doe,F,35,1.25,37,MSc Data Science,ashanti,no,12500
1279,Emmanuel Sarpong,M,29,2.9,37,MBA,Northern,no,4500
2368,Kwame Ofori,female,19,3.07,31,MPhil Statistics,Eastern,no,17750
1077,Adwoa Doe,F,27,1.22,16,MPhil Statistics, greater accra ,no,16750
2316,Joseph Owusu,F,17,1.84,30,MSc Data Science,Upper East,Yes,5500
2131,Akosua Owusu,M,27,1.62,26,MBA,Eastern,No,17500
2422,Grace Mensah,M,32,3.3,17,MSc Economics,western,Yes,6250
2411,Efua Owusu,F,24,1.01,14,MSc Data Science,upper west,Yes,13000
1144,Samuel Boateng,M,28,4.8,19,MPhil Statistics,Greater Accra,Yes,9500
1046,Rashid Lee,F,34,1.96,20,MSc Data Science,volta,No,5500
1015,Selina Owusu,F,27,2.98,15,MSc Data Science,Eastern,Yes,4750
1950,Selina Agyeman,male,35,3.68,39,MPhil Statistics,Northern,no,10500
2197,Adwoa Amankwah,Female,29,3.78,40,MSc Economics,Eastern,Yes,14250
1946,Rashid Nkrumah,female,19,3.35,11,MSc Data Science,northern,No,4500
2428,Adwoa Mensah,M,21,3.96,24,MPhil Statistics,Western,No,9000
1599,Efua Agyeman,male,32,1.55,7,MSc Economics,upper east,Yes,10750
1561,Efua Mensah,F,30,3.27,17,MBA,volta,no,?
1737,Ama Sarpong,male,29,2.03,2,MBA,Greater Accra,no,18000
1240,Isaac Tetteh,female,18,1.77,9,MSc Economics,Upper West,Yes,17750
1771,Adwoa Owusu,M,20,2.28,18,MBA,ashanti,No,11500
1663,Joseph Owusu,Female,31,3.48,27,MSc Economics, Volta ,No,10250
2475,Irene Doe,Female,25,2.35,22,MBA,Greater Accra,YES,3250
2453,Yaw Sarpong,Female,30,2.19,11,MSc Economics,upper west,Yes,11000
1557,Kojo Tetteh,F,33,2.09,4,MBA, greater accra ,No,7250
1930,Isaac Doe,female,32,2.22,36,MSc Data Science,Ashanti,Yes,12250
1766,Irene Ofori,Female,29,4.8,23,MSc Economics,eastern,Yes,2500
1779,Rashid Nkrumah,male,27,3.72,19,MBA,Western,No,10750
1309,Kojo Agyeman,Female,31,3.35,22,MBA,ashanti,Yes,10000
1682,Samuel Lee,M,21,2.43,24,MSc Data Science, central ,Yes,14000
1506,Emmanuel Mensah,F,24,2.98,21,MSc Economics,Upper West,no,14750
1601,Adwoa Sarpong,female,27,3.22,23,MPhil Statistics,volta,YES,10000
1241,Selina Mensah,F,30,1.8,32,MPhil Statistics,central,Yes,5000
1956,Kofi Ofori,F,18,2.09,31,MSc Data Science,Central,Yes,11250
1968,Selina Lee,Male,22,2.19,17,MPhil Statistics,western,no,16750
1898,Adwoa Doe,Female,34,1.35,30,MPhil Statistics,Upper West,YES,15000
1969,Akosua Asare,Male,twenty-two,3.62,11,MSc Data Science,Upper East,Yes,12750
2416,Adwoa Doe,F,34,1.6,20,MBA,Upper West,no,14500
2162,Adwoa Amankwah,F,28,2.8,28,MSc Economics,northern,Yes,16750
1542,Samuel Tetteh,F,33,2.67,13,MSc Data Science,Ashanti,No,3250
2157,Yaw Mensah,Male,31,1.06,7,MPhil Statistics,Central,Yes,5000
1072,Kojo Doe,F,17,1.17,30,MPhil Statistics,Upper East,YES,8250
2117,Isaac Brown,F,31,2.57,6,MBA,Eastern,no,6000
2311,Joseph Brown,Male,27,1.07,0,MPhil Statistics,central,no,17500
2277,Yaw Asare,M,21,3.3,13,MBA,Greater Accra,no,16000
2252,Yaw Tetteh,female,22,1.16,6,MSc Data Science,volta,no,15750
2132,Michael Asare,Male,25,2.91,0,MBA,central,YES,6250
2451,Selina Amankwah,F,29,2.21,24,MSc Economics,Central,no,12250
1728,Fatima Brown,F,29,3.29,17,MSc Economics,northern,YES,12750
1266,Adwoa Boateng,Female,20,2.75,24,MBA,Greater Accra,YES,15750
1725,Kojo Amankwah,female,17,2.82,5,MSc Economics,central,No,9750
2309,Fatima Ofori,M,28,1.56,31,MBA,Eastern,Yes,11500
1691,Grace Amankwah,male,18,3.04,5,MPhil Statistics,upper west,No,18000
1306,Daniel Sarpong,Female,25,3.8,32,MBA,eastern,YES,16000
1849,Kojo Owusu,F,21,1.87,5,MSc Data Science,volta,Yes,14000
1070,Daniel Brown,M,27,3.23,8,MBA,central,Yes,?
1850,Samuel Lee,M,18,2.44,26,MSc Economics,Volta,No,4000
1247,Joseph Addo,male,29,2.17,20,MPhil Statistics,Central,Yes,14000
1158,Yaw Brown,female,21,3.35,16,MSc Economics,Upper West,no,9750
1503,Isaac Asare,Male,22,2.92,2,MSc Data Science,Ashanti,Yes,16000
2396,Isaac Tetteh,female,twenty-two,1.23,3,MBA,volta,no,3500
1273,Yaw Agyeman,Male,30,,ten,MSc Economics,Eastern,No,16000
1533,Yaw Doe,M,29,2.54,16,MSc Economics,Central,Yes,?
1364,Kojo Sarpong,F,31,1.11,22,MSc Data Science,volta,no,9750
1357,Adwoa Boateng,Male,19,,29,MSc Data Science,western,No,8500
2121,Abena Owusu,female,25,2.08,24,MSc Economics,greater accra,Yes,9500
2142,Irene Brown,M,34,3.87,33,MSc Economics,Upper West,YES,3000
2242,Grace Doe,M,25,2.51,40,MPhil Statistics,eastern,no,5000
2159,Kojo Asare,male,23,2.0,21,MSc Data Science,Ashanti,no,2000
1334,Kojo Brown,Female,twenty-two,3.77,35,MSc Data Science,Upper West,no,4750
1497,Grace Brown,male,17,1.54,7,MSc Data Science,Upper West,No,7250
2004,Fatima Owusu,Male,27,1.67,33,MBA,volta,YES,12000
1676,Daniel Mensah,male,21,3.38,17,MSc Economics,Greater Accra,Yes,13500
1830,Kwame Lee,F,31,3.09,17,MPhil Statistics,Eastern,No,11250
2185,Joseph Agyeman,Male,27,1.22,39,MSc Economics,volta,No,13000
1683,Fatima Sarpong,Female,31,3.99,33,MPhil Statistics,Eastern,No,16750
1513,Abena Brown,Male,26,3.89,0,MSc Data Science,Northern,No,4500
1264,Daniel Brown,female,32,3.9,35,MSc Data Science,Eastern,Yes,13000
1692,Isaac Ofori,female,23,2.12,12,MSc Data Science,Eastern,no,14500
2140,Kofi Sarpong,M,31,1.81,1,MBA, Eastern ,no,?
1412,Selina Brown,Female,30,3.32,34,MBA,Volta,no,9250
2403,Michael Mensah,female,29,3.71,9,MSc Data Science,Central,YES,13000
1882,Kojo Owusu,M,31,1.02,11,MPhil Statistics,greater accra,YES,5500
1667,Rashid Brown,M,24,,11,MBA,Upper East,no,14750
1749,Kojo Brown,male,18,3.73,26,MPhil Statistics, western ,YES,17500
1205,Selina Ofori,female,25,2.06,35,MSc Economics,Northern,No,4250
1454,Irene Boateng,Male,34,1.21,11,MPhil Statistics,upper east,YES,10500
2328,Emmanuel Lee,M,twenty-two,1.96,ten,MSc Data Science,Eastern,no,10750
1069,Kwame Amankwah,Female,27,,26,MSc Economics,Ashanti,Yes,13750
1933,Abena Amankwah,F,27,,32,MPhil Statistics,ashanti,YES,17750
1370,Michael Asare,Male,31,3.54,26,MSc Data Science,Eastern,no,4750
2387,Isaac Mensah,Male,20,2.45,23,MPhil Statistics,ashanti,Yes,10750
2427,Kofi Sarpong,Female,17,3.14,40,MPhil Statistics,volta,Yes,16000
1281,Daniel Ofori,male,27,1.02,26,MPhil Statistics,upper west,YES,16750
2218,Rashid Lee,Male,20,3.2,27,MSc Data Science,Greater Accra,YES,5000
1059,Adwoa Mensah,female,35,1.15,14,MSc Data Science, volta ,YES,2500
2286,Michael Amankwah,M,21,1.29,40,MSc Data Science,Greater Accra,YES,16000
1138,Akosua Lee,female,31,3.82,37,MPhil Statistics,volta,no,13250
1887,Daniel Ofori,F,35,2.1,4,MSc Economics,Ashanti,No,15750
2154,Yaw Brown,female,18,3.64,2,MSc Data Science,ashanti,no,10500
