person_id,name,gender,age,education_years,region,employment_status,industry,hours_worked_per_week,monthly_income,job_search_active,survey_source
2438,Joseph Asare,female,43,3,Volta,Informal,serv,32,4350.0,no,HS
2375,Yaw Mensah,F,28,20,central,Informal,Public Sector,22,1450.0,no,HIES
2255,Akosua Boateng,Male,18,12,Volta,emp,serv,56,7300.0,YES,HIES
2664,Abena Asare,female,39,20,Northern,Employed,Services,29,5000.0,Yes,HIES
3062,Kofi Addo,Female,110,6,Upper West,Informal,Services,25,?,no,hies
2829,Kofi Amankwah,F,63,3,upper west,unemp,Manufacturing,39,,YES,hs
2042,Selina Nkrumah,Female,36,4,Greater Accra,Informal,Construction,21,6200.0,Yes,HIES
2816,Emmanuel Mensah,Female,27,12,western,Self-employed,Construction,16,1400.0,Yes,HIES
2930,Isaac Brown,M,47,5,western,Not in Labour Force,Construction,70,2450.0,No,hs
3212,Fatima Ofori,Male,18,19,volta,Informal,Agriculture,31,2100.0,no,HS
2538,Adwoa Addo,F,49,20,Central,emp,Public Sector,61,1750.0,no,LFS
2551,Irene Sarpong,Male,26,20,Upper West,Employed,Public Sector,46,,Yes,HS
2751,Michael Brown,Male,52,17,ashanti,emp,Services,45,1500.0,YES,hs
2667,Adwoa Addo,Male,65,18,upper west,Informal,Services,62,2000.0,YES,hies
2519,Kojo Mensah,Female,37,13,northern,Self-employed,Construction,40,5700.0,YES,lfs
2679,Grace Nkrumah,Male,39,10,Upper West,Employed,agric,3,6500.0,No,hies
2706,Michael Nkrumah,female,32,17,eastern,Employed,Manufacturing,20,,no,HIES
3028,Joseph Addo,M,36,14,Upper East,emp,agric,9,6750.0,YES,hs
3163,Abena Agyeman,male,31,1,greater accra,emp,agric,8,5750.0,Yes,HS
2356,Samuel Brown,male,33,3,greater accra,Self-employed,Construction,32,6500.0,YES,hs
2949,Emmanuel Mensah,Female,46,10,central,unemp,Construction,48,7250.0,no,lfs
3231,Michael Doe,Male,41,3,northern,Self-employed,Agriculture,61,,Yes,HIES
3152,Adwoa Brown,female,25,2,Ashanti,Unemployed,agric,9,6200.0,no,LFS
3123,Irene Owusu,Male,61,3,Upper West,Employed,agric,23,7750.0,no,hs
2378,Akosua Lee,female,20,1,Western,Not in Labour Force,Manufacturing,27,3600.0,No,hies
3493,Michael Owusu,Female,62,4,western,Unemployed,Services,69,6750.0,no,hs
